sgRNA,Gene,Endura,Addgene
sg_20618,GRIN1,81.1410942406957,72.83136270986363
sg_11189,CSF3R,170.24695846820816,161.84747268858584
sg_52059,TMEM14C,173.23374721326445,159.8243792799785
sg_29420,MFSD8,86.61687360663223,95.08539020454418
sg_43380,SH3TC1,53.762197411013105,40.46186817214646
sg_49992,TAPBPL,47.78861992090054,78.9006429356856
sg_8824,CHRNA4,94.08384546927293,62.71589566682701
sg_40705,RNASE6,283.7449307803469,252.88667607591537
sg_43045,SERPINE2,213.55539527152428,180.05531336605173
sg_15622,FADS1,150.83283162534232,171.96293973162244
sg_34266,OR2T34,186.17649844184166,216.47099472098355
sg_8244,CDS2,106.03100044949807,176.0091265488371
sg_11377,CTLA4,242.92548459791107,254.90976948452268
sg_42833,SEMA5A,14.933943725281416,54.623522032397716
sg_31909,NOMO2,109.5155873187304,78.9006429356856
sg_752,ACKR4,293.2030951396918,224.56336835541285
sg_43465,SHISA8,280.2603439111146,222.5402749468055
sg_15071,EREG,234.9607146110943,267.0483299361666
sg_4948,BTN2A2,29.370089326386786,16.184747268858583
sg_20195,GPR6,165.76677535062373,157.8012858713712
sg_21417,HIATL1,554.0493122079406,564.4430610014431
sg_1241,ADCY1,259.3528226957206,293.34854424806184
sg_25972,LAMA5,164.77117910227165,176.0091265488371
sg_16168,FAM3A,574.4590352991585,627.1589566682701
sg_45453,SLC30A8,32.35687807144307,56.64661544100504
sg_22531,IFITM1,125.4451272923639,145.66272541972725
sg_2057,AMN,284.24272890452295,303.4640112910984
sg_58962,TRBV12-3,45.79742742419634,46.53114839796843
sg_36420,PCDHB14,218.03557838910868,163.87056609719315
sg_44816,SLC25A33,508.25188478374423,467.33457738829156
sg_42907,SEPP1,135.40108977588486,169.93984632301513
sg_36029,PAQR4,364.88602502104266,422.8265223989305
sg_24289,JTB,133.9076954033567,149.7089122369419
sg_38132,PLXNB1,123.45393479565972,188.14768700048103
sg_26702,LINC00493,160.78879410886327,224.56336835541285
sg_14515,EMILIN1,384.7979499880845,432.9419894419671
sg_5252,C15orf61,278.76694953858646,210.40171449516157
sg_19408,GPI,46.29522554837239,76.87754952707827
sg_44501,SLC22A15,255.86823582648827,392.48012126982064
sg_13848,DYRK2,427.6085886672246,356.06443991488885
sg_37115,PGAM5,206.58622153305961,216.47099472098355
sg_1114,ADAM32,551.5603215870603,608.9511159908042
sg_6639,CATSPER2,103.04421170444178,137.57035178529796
sg_20840,GSG1L,72.6785261297029,50.57733521518307
sg_33949,OR1L4,82.1366904890478,95.08539020454418
sg_35189,OR6P1,216.0443858924045,214.44790131237622
sg_6298,CADM2,378.3265743737959,356.06443991488885
sg_56892,VEGFC,308.6348369891493,212.4248079037689
sg_51479,TMED1,94.58164359344897,97.10848361315149
sg_17146,FMO5,193.64347030448238,204.33243426933961
sg_3032,ASIC3,182.19411344843328,186.12459359187372
sg_21790,HPX,174.22934346161654,163.87056609719315
sg_45371,SLC30A10,105.03540420114597,80.92373634429292
sg_47107,SLC8A2,511.73647165297655,473.4038576141136
sg_39020,PRSS16,179.207324703377,240.74811562427143
sg_50508,TEX10,267.8153908067134,194.21696722630298
sg_38021,PLSCR4,143.86365788687766,234.67883539844945
sg_32634,NPTN,148.84163912863812,111.27013747340276
sg_2312,ANPEP,143.86365788687766,123.4086979250467
sg_5226,C15orf48,171.7403528407363,182.07840677465907
sg_2766,ARL10,189.661085311074,204.33243426933961
sg_12421,DDR2,99.0618267110334,78.9006429356856
sg_30360,MS4A18,153.32182224622255,121.38560451643937
sg_802,ACPT,256.8638320748404,256.93286289313
sg_42624,SEL1L2,223.01355963086917,171.96293973162244
sg_12082,CYP4V2,116.9825591813711,78.9006429356856
sg_1003,ADAM15,74.66971862640709,56.64661544100504
sg_11298,CTAGE1,145.85485038358183,101.15467043036614
sg_36041,PAQR5,212.55979902317216,176.0091265488371
sg_28748,MBOAT2,214.55099151987636,220.5171815381982
sg_17672,FZD6,152.8240241220465,159.8243792799785
sg_43560,SIGLEC15,83.1322867373999,99.13157702175882
sg_10340,COL17A1,343.97850380564864,392.48012126982064
sg_19026,GLP2R,158.299803487983,157.8012858713712
sg_28461,MAN2A2,281.2559401594667,356.06443991488885
sg_9431,CLDND1,196.1324609253626,293.34854424806184
sg_26164,LBR,33.850272443971214,34.39258794632449
sg_55776,TTC39C,119.47154980225133,86.99301657011489
sg_12702,DGAT1,362.3970344001624,341.90278605463755
sg_58052,ZDHHC12,283.2471326561709,283.2330772050252
sg_54295,TNFRSF10C,156.30861099127884,153.75509905415655
sg_9301,CLDN17,634.1948102002842,552.3045005497992
sg_21349,HHAT,171.7403528407363,163.87056609719315
sg_45971,SLC38A2,250.39245646055176,254.90976948452268
sg_16137,FAM26E,202.10603841547518,176.0091265488371
sg_32036,nontargeting,403.71427870677434,469.3576707968989
sg_28154,LYPD4,79.1499017439915,48.554241806575746
sg_30907,NAALADL1,590.3885752727921,582.650901678909
sg_29493,MGAT4A,107.02659669785015,115.3163242906174
sg_53558,TMEM57,194.63906655283446,238.7250222156641
sg_8759,CHRM3,146.85044663193395,103.17776383897346
sg_21570,HLA-DOB,196.63025904953867,196.24006063491032
sg_7143,CD177,218.53337651328474,182.07840677465907
sg_4304,BAI3,79.64769986816756,42.48496158075378
sg_35371,OR8H2,356.4234569100498,313.57947833413505
sg_29542,MGST1,181.69631532425726,180.05531336605173
sg_10883,CR1L,115.48916480884296,216.47099472098355
sg_413,ABCG4,851.7325904652168,817.3297370773585
sg_53408,TMEM44,100.55522108356155,48.554241806575746
sg_1206,ADAMTSL4,46.79302367254844,64.73898907543433
sg_17556,FXYD2,206.08842340888356,178.03221995744443
sg_29971,MOSPD1,239.44089772867872,210.40171449516157
sg_42215,SCN3A,59.23797677694962,80.92373634429292
sg_39502,PTPLA,311.12382761002954,317.6256651513497
sg_37311,PIAS2,159.79319786051116,151.7320056455492
sg_42043,SCAMP5,314.1106163550858,236.7019288070568
sg_15309,ETNK1,85.12347923410408,62.71589566682701
sg_5351,C17orf80,488.8377579408784,558.3737807756211
sg_16362,FAT1,138.88567664511717,121.38560451643937
sg_42359,SDC1,419.1460205562318,451.14983011943303
sg_33627,OR10H3,422.6306074254641,489.58860488297216
sg_40636,RMDN2,105.53320232532201,169.93984632301513
